ID,Status,Title,Description,Affected Component,Impact Scope
0,Yes,Godkendelsesomgåelse via DevTools - Afstemning,Brugere kan omgå godkendelsestjek via browserens DevTools (F12) og stemme som en hvilken som helst bruger.,Backend,All Users
1,Yes,Godkendelsesomgåelse via DevTools - Sletning af bruger,Brugere kan omgå godkendelsestjek via DevTools og slette vilkårlige brugerkonti.,Backend,All Users
2,Addressed,Chromium nedbrud via Om os-siden,Under visse forhold kan siden Om os få Chromium-browsere til at gå ned.,Client-Side,Individual User
3,No,Servernedbrud via Om os-siden,I meget sjældne tilfælde kan bestemte interaktioner på siden Om os få serveren til at gå ned.,Server-Side,All Users
4,Yes,ESC-tast fungerer ikke ved oprettelse af opslag,Tryk på `Esc` lukker ikke oprettelsesvinduet som forventet.,Frontend,Individual User
5,Yes,Problemer med visning af ASCII-kunst,ASCII-kunst vises forkert på grund af manglende linjeskift.,Frontend,All Users
6,Yes,Feedback afvises ved vurdering 0,Indsendelse af feedback med vurdering 0 resulterer i en 400-fejl.,Frontend,All Users
7,No,Uendelig opdateringssløjfe for adgangstoken,"Frontend forsøger gentagne gange at opdatere adgangstokens uden tilbageholdelse eller fejlretning, hvilket kan spamme backend og overfylde loggene.",Frontend,All Users
8,No,Godkendelsesfejl: Ugyldig Callback-URL,"Frontend udløser ofte ""InvalidCallbackUrl""-fejl, sandsynligvis pga. forkert konfigurerede eller uoverensstemmende OAuth-callback-URL'er, hvilket fører til over 5.000 gentagelser.",Frontend/Auth,All Users
9,No,Mangler WebRootPath,"Servering af statiske filer virker ikke pga. ugyldig eller manglende WebRootPath, hvilket påvirker leveringen af frontend-assets.",Backend/Static File Middleware,All Users
10,No,Kommentarantal opdateres ikke,"Efter indsendelse af en kommentar opdateres antallet ikke før man manuelt opdaterer siden, hvilket forvirrer brugeren.",Frontend/Comments,All Users
11,Yes,Indstillingsside låser sessionen,"Ændring af baggrundens gennemsigtighed låser indstillingsmenuen, og brugeren skal logge ind igen for at fortsætte.",Frontend/Settings,All Users
12,Yes,Indstillinger gemmes ikke på tværs af sessioner,"Brugerindstillinger gemmes eller gendannes ikke efter sessionsgenoprettelse, så præferencer som baggrundens gennemsigtighed nulstilles.",Frontend/Settings,All Users
13,Yes,Log ud ved opslag viser ikke login-siden,"Log ud mens man ser et opslag sender ikke brugeren tilbage til login-siden, men efterlader dem på en utilgængelig side.",Frontend/Auth Routing,All Users
